,date,location,IP address,component,interaction,duration,downtime
0,2021-08-18,"950 Rebecca Ranch Suite 170
New Scott, NH 81801",165.61.147.242,mongodb database,other,16.9,13.89
1,2021-06-08,"55068 Kyle Centers
North Jenniferhaven, HI 44276",159.146.10.26,sap shipping management system,invalid SAP unit code,80.96,0.0
2,2021-08-01,"60517 Richard Lake
Lake Lori, NJ 37360",129.94.76.202,sap shipping management system,server error,49.47,0.0
3,2021-08-03,"829 Cox Ferry
Nicholasshire, VA 23634",49.137.245.5,django controller,HTTP 401 response,2.56,0.0
4,2021-08-10,"940 Odom Lodge
Timothyburgh, AZ 75746",172.200.143.223,ios frontend,dormant,47.26,0.0
5,2021-06-28,"624 Christopher Square Suite 948
Christopherfort, SC 72783",124.187.174.229,android frontend,scroll,69.21,0.0
6,2021-06-03,"60885 Victoria Island
East Stanleyton, CO 31376",18.22.86.97,ios frontend,dropdown click,87.55,69.05
7,2021-08-05,"Unit 2522 Box 8150
DPO AA 53572",132.103.2.51,ai engine,training data error,23.73,24.64
8,2021-07-13,"87327 Richard Station Apt. 638
West Josephshire, TN 99196",210.236.48.211,web frontend,click,87.32,0.0
9,2021-07-09,"1245 Audrey Bridge
Alanland, GA 68879",115.166.126.21,web frontend,scroll,60.06,0.0
10,2021-06-25,"28814 Matthew Passage
Charlesmouth, VA 66675",5.20.98.73,shipping database,potential SSH threat,97.78,95.0
11,2021-06-05,"60062 Lisa Alley Suite 344
West Autumn, NM 74622",191.232.137.142,django controller,HTTP 500 response,44.84,41.13
12,2021-07-22,"52989 Jennifer Forks
Nashfurt, NY 13858",215.207.149.102,android frontend,bounce,95.47,0.7
13,2021-06-21,"74059 Crawford Loaf Suite 078
Ellisfort, LA 43774",219.152.104.43,customer database,cannot find customer,52.59,0.0
14,2021-07-31,"4224 Hahn Camp
South Nicoleside, LA 40588",21.243.17.161,android frontend,dormant,47.59,0.0
15,2021-05-23,"7272 Anna Vista
West Brandonberg, MD 11872",223.169.23.41,sap shipping management system,server error,14.42,0.0
16,2021-07-08,"8735 Vega Neck
North Seanside, KS 05026",130.33.129.176,android frontend,click,24.13,0.0
17,2021-05-26,"745 Turner Alley Apt. 475
Sandramouth, VT 56296",213.126.141.78,web frontend,bounce,92.02,19.83
18,2021-06-02,"8196 Robert Flats
New Benjaminfort, VT 34582",212.95.55.209,customer database,other,29.67,0.0
19,2021-07-04,"6456 Garcia Highway Apt. 560
South Brandonhaven, CA 56798",132.229.112.194,mongodb database,SQL injection threat,21.93,2.13
20,2021-06-19,"584 Perez Flats Apt. 685
West James, MO 17553",22.117.188.42,ios frontend,new route,72.66,0.0
21,2021-08-09,"722 Christopher Course
Lake Alexandra, ID 91346",114.233.164.118,ai engine,training data error,44.04,32.42
22,2021-07-05,"208 Tonya Underpass Suite 893
Lesterfort, KS 39830",209.98.162.55,ai engine,bias detected in training data,22.24,15.94
23,2021-06-29,"6424 Brandon Hollow
Christopherchester, TN 80387",182.188.132.113,web frontend,new route,55.51,0.0
24,2021-07-26,"7096 Michael Station
Timothyburgh, MO 57419",218.8.244.150,ai engine,training data error,26.68,6.87
25,2021-06-23,"2464 Coleman Row
Port Alexander, WI 41853",216.192.193.181,web frontend,click,20.26,24.33
26,2021-07-19,"486 Elizabeth Road
Burtonbury, MO 54028",34.170.2.157,ai engine,bias detected in training data,0.76,0.0
27,2021-06-17,"47374 Smith Ports Suite 954
West Brett, CA 12932",211.163.135.248,web frontend,new route,22.99,3.76
28,2021-05-27,"827 Melinda Neck
North Carla, DE 66567",188.139.210.71,django controller,HTTP 401 response,86.63,62.44
29,2021-06-14,"84537 Lisa Oval Suite 239
North Markmouth, WI 04744",18.225.255.138,ios frontend,dropdown click,1.79,0.0
30,2021-05-31,"1321 Adam Walks Apt. 483
Vanessamouth, NM 88453",210.81.21.114,android frontend,refresh,3.5,0.01
